subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,5/24/2022,11/21/2020,11/23/2020,McLaughlin & Associates,C/D,1000,lv,.42675533,0,45,47,43.651323,43.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2020/11/Newsmax-National-PPT-11-24-20-.pdf,73339,139355,1/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,12/9/2020,12/13/2020,McLaughlin & Associates,C/D,1000,lv,.40561148,0,46,48,44.651323,44.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2020/12/National-Monthly-December-For-Release-1.pdf,73755,139356,1/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,2/12/2021,2/18/2021,Echelon Insights,B/C,1005,rv,.72685144,0,44,44,41.765917,43.718426,"","",https://echeloninsights.com/in-the-news/march-omnibus-political/,74400,140351,3/24/2021,20:26:06 24 May 2022
All polls,5/24/2022,2/18/2021,2/23/2021,Greenberg Research,B,1000,rv,1.1342245,0,47.666667,42.333333,46.214956,41.150385,*,"",https://democracycorps.com/national-surveys/new-democracy-corps-national-phone-poll-fixed-to-accommodate-trumps-right-wing-populism/,74469,140129,3/10/2021,20:26:06 24 May 2022
All polls,5/24/2022,2/22/2021,2/25/2021,NRSC,"",1200,lv,1.055869,0,39,38,40.52559,38.81991,"","",https://static.politico.com/46/bc/107f15c4455fb427632f492b4deb/nrsc-national-survey.pdf,74745,140879,4/30/2021,20:26:06 24 May 2022
All polls,5/24/2022,2/24/2021,2/28/2021,McLaughlin & Associates,C/D,1000,lv,.34848794,0,46,46,44.651323,42.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2021/03/National-Monthly-For-Release-3-03-21.pdf,74444,140041,3/3/2021,20:26:06 24 May 2022
All polls,5/24/2022,2/26/2021,2/28/2021,Léger,B/C,1002,a,.96294561,0,39,31,40.513961,34.342759,"","",https://leger360.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-1st-2021-min.pdf,74438,139992,3/2/2021,20:26:06 24 May 2022
All polls,5/24/2022,3/15/2021,3/21/2021,Echelon Insights,B/C,1008,rv,.62552506,0,46,42,43.765917,41.718426,"","",https://echeloninsights.com/in-the-news/march-omnibus-political/,74557,140352,3/24/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/3/2021,4/7/2021,PEM Management Corporation,"",1000,lv,.69027885,0,39.8,42.7,41.132445,42.018487,"","",https://boltonsuperpac.com/pdfs/crostabs_04202021.pdf,74681,140689,4/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/7/2021,4/11/2021,The Winston Group,A/B,1000,rv,1.215059,0,45,41,44.028395,40.58784,"","",https://www.winningtheissues.org/wp-content/uploads/2021/08/Winning-the-Issues-April-2021-National-Survey.pdf,75474,143966,8/6/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/8/2021,4/13/2021,McLaughlin & Associates,C/D,1000,lv,.34643543,0,46,46.4,44.651323,43.18139,"","",https://www.ammoland.com/2021/04/new-mclaughlin-poll-strong-2a-support-not-so-much-for-exec-orders/#axzz6sCmt62BU,74665,140646,4/16/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/12/2021,4/16/2021,Ipsos,B-,4423,a,1.2202031,0,39,31,42.377255,37.337086,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-05/Reuters%20Ipsos%20Large%20Issue%20Poll%20%232%20Topline%20%20Write-up%20-%20Biden%20100%20Days%20-%2012%20April%20thru%2016%20April%202021.pdf,74812,142388,5/19/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/15/2021,4/17/2021,RMG Research,B-,1200,rv,.70755667,0,43,39,44.940214,40.370779,"","",https://scottrasmussen.com/generic-congressional-ballot-democrats-43-republicans-39/,74673,140667,4/19/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/15/2021,4/20/2021,Change Research,B-,1025,rv,.96605047,0,48,43,45.97267,42.082607,"","",https://twitter.com/ChangePolls/status/1388132970536505344,74730,140873,4/30/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/17/2021,4/20/2021,YouGov,B+,1168,rv,.49856941,0,45,37,44.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74683,144500,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/17/2021,4/20/2021,Hart Research Associates/Public Opinion Strategies,B+,790,rv,1.1016758,0,47,42,45.98163,41.19472,"","",https://www.documentcloud.org/documents/20690434-210098-nbc-news-april-poll-4-25-21-release,74703,140773,4/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/16/2021,4/23/2021,Echelon Insights,B/C,1043,rv,.58723229,0,46,42,43.765917,41.718426,"","",https://echeloninsights.com/in-the-news/april-omnibus-political/,74731,140848,4/28/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/21/2021,4/23/2021,YouGov,B+,1000,a,.45067816,0,45,38,44.498199,42.084682,"","",https://polsci.umass.edu/toplines-and-crosstabs-april-2021-election-reform,74708,140862,4/29/2021,20:26:06 24 May 2022
All polls,5/24/2022,4/24/2021,4/27/2021,YouGov,B+,1138,rv,.45442482,0,43,38,42.498199,42.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75771,144501,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/5/2021,5/9/2021,Cygnal,B+,1030,a,1.2530866,0,43.9,41.4,42.736671,40.16934,"","",https://projects.fivethirtyeight.com/polls/20210525_US_Cygnal.pdf,74847,142547,5/25/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/6/2021,5/8/2021,RMG Research,B-,1000,rv,.59655219,0,41,40,42.940214,41.370779,"","",https://scottrasmussen.com/generic-congressional-ballot-democrats-41-republican-40/,74803,142337,5/13/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/8/2021,5/9/2021,Redfield & Wilton Strategies,B/C,1189,lv,.95256082,0,44,37,44.03564,38.336005,"","",https://redfieldandwiltonstrategies.com/bidens-approval-rating-remains-high-whereas-pluralities-disapprove-of-all-congressional-leaders/?utm_source=rss&utm_medium=rss&utm_campaign=bidens-approval-rating-remains-high-whereas-pluralities-disapprove-of-all-congressional-leaders,74805,142343,5/14/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/8/2021,5/11/2021,YouGov,B+,1138,rv,.40084479,0,45,39,44.498199,43.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74788,144502,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/12/2021,5/18/2021,McLaughlin & Associates,C/D,1000,lv,.3577941,0,46,47,44.651323,43.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2021/05/National-Monthly-Omnibus-MAY-Release-1.pdf,74819,142435,5/19/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/14/2021,5/17/2021,Echelon Insights,B/C,1132,rv,.59521006,0,50,40,47.765917,39.718426,"","",https://echeloninsights.com/in-the-news/may-omnibus-political/,74836,142498,5/21/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/15/2021,5/18/2021,YouGov,B+,1141,rv,.38036747,0,47,38,46.498199,42.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74817,144503,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/18/2021,5/24/2021,Quinnipiac University,A-,1174,rv,1.2329612,0,50,41,49.12534,39.994566,"","",https://poll.qu.edu/poll-release?releaseid=3810,74854,142608,5/26/2021,20:26:06 24 May 2022
